Author(s),Year,Title,Journal,Mechanisms Identified,Location,Data source,Ecosystem,Taxon,Notes,Other Mechanisms,N
Adams et al.,2017,"Extreme drought, host density, sex, and bullfrogs influence fungal
   pathogen infection in a declining lotic amphibian",Ecosphere,climatic pulse events,USA,empirical,freshwater,amphibians,Bd,,1
Blaustein & Kiesecker,2002,"Complexity in conservation: lessons from the global decline of amphibian
   populations",Ecology Letters,precipitation,Global,literature,freshwater,amphibians,,,0.333
Blaustein & Kiesecker,2002,"Complexity in conservation: lessons from the global decline of amphibian
   populations",Ecology Letters,temperature,Global,literature,freshwater,amphibians,,,0.333
Blaustein & Kiesecker,2002,"Complexity in conservation: lessons from the global decline of amphibian
   populations",Ecology Letters,UV,Global,literature,freshwater,amphibians,,,0.333
Blaustein et al.,2012,"Ecophysiology meets conservation: understanding the role of disease in
   amphibian population declines",Philosophical Transactions of the Royal Society B,behavior,Global,literature,freshwater,amphibians,host–pathogen interactions,,1
Bosch et al.,2018,"Long-term monitoring of an amphibian community after a climate change-
   and infectious disease-driven species extirpation",Global Change Biology,species decline,Spain,empirical,freshwater,amphibians,Bd,,1
Clare et al.,2016,"Climate forcing of an emerging pathogenic fungus across a montane
   multi-host community",Philosophical Transactions of the Royal Society B,temperature,France,empirical,freshwater,amphibians,Bd,,1
Collins,2010,Amphibian decline and extinction: What we know and what we need to learn,Diseases of Aquatic Organisms,thermal mismatch,Global,literature,freshwater,amphibians,Bd,,1
Edwards & Gordon,2021,"HELMINTH DIVERSITY OF GREEN TREEFROGS (HYLA CINEREA) IN THEIR EXPANDED
   GEOGRAPHICAL RANGE",Journal of Parasitology,migration,USA,empirical,freshwater,amphibians,helminths in tree frogs,,1
Herath et al.,2021,"Patterns of infection, origins, and transmission of ranaviruses among
   the ectothermic vertebrates of Asia",Ecology and Evolution,NA,Asia,literature,freshwater,amphibians,ranavirus,,1
Liu et al. ,2013,"Climate, vegetation, introduced hosts and trade shape a global wildlife
   pandemic",Proceedings of the Royal Society B,invasive species,Global,empirical,freshwater,amphibians,Bd,,1
Olson et al.,2021,"Global Patterns of the Fungal Pathogen Batrachochytrium dendrobatidis
   Support Conservation Urgency",Frontiers in Veternary Science,precipitation,USA,empirical,freshwater,amphibians,Bd,,0.5
Olson et al.,2021,"Global Patterns of the Fungal Pathogen Batrachochytrium dendrobatidis
   Support Conservation Urgency",Frontiers in Veternary Science,temperature,USA,empirical,freshwater,amphibians,Bd,,0.5
Pounds et al. ,2006,"Widespread amphibian extinctions from epidemic disease driven by global
   warming",Nature,temperature,Costa Rica,empirical,freshwater,amphibians,Bd,,1
Price et al.,2016,"Reconstructing the emergence of a lethal infectious disease of wildlife
   supports a key role for spread through translocations by humans",Proceedings of the Royal Society B,temperature,United Kingdom,empirical,freshwater,amphibians,ranavirus / citizen science data,,1
Rohr & Raffel,2010,"Linking global climate and temperature variability to widespread
   amphibian declines putatively caused by disease",Proceedings of the National Academy of Sciences,climatic pulse events,Global,empirical,freshwater,amphibians,Bd,,1
Ruthsatz et al.,2020,"Skin microbiome correlates with bioclimate and Batrachochytrium
   dendrobatidis infection intensity in Brazil's Atlantic Forest treefrogs",Scientific Reports,precipitation,Brazil,empirical,freshwater,amphibians,Bd,,0.5
Ruthsatz et al.,2020,"Skin microbiome correlates with bioclimate and Batrachochytrium
   dendrobatidis infection intensity in Brazil's Atlantic Forest treefrogs",Scientific Reports,temperature,Brazil,empirical,freshwater,amphibians,Bd,,0.5
Spitzen-van der Sluijs et al.,2017,"Fragile coexistence of a global chytrid pathogen with amphibian
   populations is mediated by environment and demography",Proceedings of the Royal Society B,temperature,Netherlands,empirical,freshwater,amphibians,Bd,,1
Venesky et al.,2014,"Confronting inconsistencies in the amphibian-chytridiomycosis system:
   implications for disease management",Biological Reviews,temperature,Global,literature,freshwater,amphibians,Bd,,0.5
Venesky et al.,2014,"Confronting inconsistencies in the amphibian-chytridiomycosis system:
   implications for disease management",Biological Reviews,dilution / amplification,Global,literature,freshwater,amphibians,Bd,,0.5
Villamizar-Gomez et al.,2021,"Environmental determinants of Batrachochytrium dendrobatidis and the
   likelihood of further dispersion in the face of climate change in Texas,
   USA",Diseases of Aquatic Organisms,temperature,USA,empirical,freshwater,amphibians,Bd,,0.5
Villamizar-Gomez et al.,2021,"Environmental determinants of Batrachochytrium dendrobatidis and the
   likelihood of further dispersion in the face of climate change in Texas,
   USA",Diseases of Aquatic Organisms,species decline,USA,empirical,freshwater,amphibians,Bd,,0.5
Wake et al.,2008,"Are we in the midst of the sixth mass extinction? A view from the world
   of amphibians",Proceedings of the National Academy of Sciences,temperature,Global,literature,freshwater,amphibians,Bd,,0.5
Wake et al.,2008,"Are we in the midst of the sixth mass extinction? A view from the world
   of amphibians",Proceedings of the National Academy of Sciences,species decline,Global,literature,freshwater,amphibians,Bd,,0.5
Aguirre,2017,"Changing Patterns of Emerging Zoonotic Diseases in Wildlife, Domestic
   Animals, and Humans Linked to Biodiversity Loss and Globalization",ILAR Journal,anthropogenic factors,Global,literature,anthropogenic,animals,"** Includes selected examples of emerging pathogens and their impacts eg. Tick-borne zoonoses,  Rift Valley fever (RVF)",,1
Altizer et al.,2013,"Climate Change and Infectious Diseases: From Evidence to a Predictive
   Framework",Science,temperature,Global,literature,anthropogenic,animals,,,1
Cascio et al.,2011,The socio-ecology of zoonotic infections,Clinical Microbiology and Infection,anthropogenic factors,Global,literature,NA,animals,,,1
Havel et al.,2015,Aquatic invasive species: challenges for the future,Hydrobiologia,invasive species,Global,literature,marine,animals,,,0.5
Hing et al.,2016,"The relationship between physiological stress and wildlife disease:
   consequences for health and conservation",Wildlife Research,physiology,NA,literature,terrestrial,animals,,; stress responsse; immune response; Figure 1,1
Hulme,2017,"Climate change and biological invasions: evidence, expectations, and
   response options",Biological Reviews,invasive species,Great Britain,literature,terrestrial,animals,,,0.333
Hulme,2017,"Climate change and biological invasions: evidence, expectations, and
   response options",Biological Reviews,invasive species,Great Britain,literature,freshwater,animals,,,0.333
Hulme,2017,"Climate change and biological invasions: evidence, expectations, and
   response options",Biological Reviews,invasive species,Great Britain,literature,marine,animals,,,0.333
Jankowski et al.,2013,"Exploring the role of physiology and biotic interactions in determining
   elevational ranges of tropical animals",Ecography,range shifts,NA,literature,mountain,animals,,,0.5
Jankowski et al.,2013,"Exploring the role of physiology and biotic interactions in determining
   elevational ranges of tropical animals",Ecography,thermal mismatch,NA,literature,mountain,animals,,,0.5
Jeschke et al.,2013,"Novel Organisms: Comparing Invasive Species, GMOs, and Emerging
   Pathogens",AmBio,invasive species,NA,literature,NA,animals,,,1
Kilpatrick et al.,2017,"Conservation of biodiversity as a strategy for improving human health
   and well-being",Philosophical Transactions of the Royal Society B,anthropogenic factors,Global,literature,anthropogenic,animals,,,1
Nunn et al.,2005,Latitudinal gradients of parasite species richness in primates,Diversity and Distributions,vector abundance,Global,empirical,terrestrial,animals,*primates,,1
Patil et al.,2017,Biodiversity loss: Public health risk of disease spread and epidemics,Annals of Tropical Medicine and Public Health,dilution / amplification,Global,literature,anthropogenic,animals,,,0.5
Patil et al.,2017,Biodiversity loss: Public health risk of disease spread and epidemics,Annals of Tropical Medicine and Public Health,anthropogenic factors,Global,literature,anthropogenic,animals,,,0.5
Rohr et al.,2013,"Using physiology to understand climate-driven changes in disease and
   their implications for conservation",Conservation Physiology,physiology,NA,literature,NA,animals,,,1
Schmeller et al.,2018,"People, pollution and pathogens - Global change impacts in mountain
   freshwater ecosystems",Science of the total environment,physiology,Global,literature,mountain,animals,mountain ecosystems,,1
Schmeller et al.,2020,"Biodiversity loss, emerging pathogens and human health risks",Biodiversity and Conservation,NA,Global,literature,anthropogenic,animals,,,1
Shackleton et al.,2018,"Social-ecological drivers and impacts of invasion-related regime shifts:
   consequences for ecosystem services and human wellbeing",Environmental Science & Policy,invasive species,Global,literature,terrestrial,animals,conservation,,0.5
Shackleton et al.,2018,"Social-ecological drivers and impacts of invasion-related regime shifts:
   consequences for ecosystem services and human wellbeing",Environmental Science & Policy,invasive species,Global,literature,freshwater,animals,conservation,,0.5
Swynghedauw,2012,Health consequences of environmental temperature and climate variations,BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE,NA,France,literature,anthropogenic,animals,,,1
Traill et al. ,2010,"Mechanisms driving change: altered species interactions and ecosystem
   function through global warming",Journal of Animal Ecology,behavior,NA,literature,NA,animals,,interspecific interactions,0.5
Traill et al. ,2010,"Mechanisms driving change: altered species interactions and ecosystem
   function through global warming",Journal of Animal Ecology,physiology,NA,literature,NA,animals,,interspecific interactions,0.5
Wang et al.,2021,"Mammal assemblage composition predicts global patterns in emerging
   infectious disease risk",Global Change Biology,dilution / amplification,Global,theory,in silico,animals,model of disease risk in mammals,,1
Williams et al. ,2021,"Impact of climate change and biodiversity collapse on the global
   emergence and spread of infectious diseases",Journal of Paediatrics and Child health,vector abundance,Global,literature,anthropogenic,animals,,,1
Wrona et al.,2006,"Climate change effects on aquatic biota, ecosystem structure and
   function",AmBio,temperature,the Arctic,literature,marine,animals,,environmental stress,0.25
Wrona et al.,2006,"Climate change effects on aquatic biota, ecosystem structure and
   function",AmBio,food web dynamics,the Arctic,literature,marine,animals,,environmental stress,0.25
Wrona et al.,2006,"Climate change effects on aquatic biota, ecosystem structure and
   function",AmBio,range shifts,the Arctic,literature,marine,animals,,environmental stress,0.25
Wrona et al.,2006,"Climate change effects on aquatic biota, ecosystem structure and
   function",AmBio,physiology,the Arctic,literature,marine,animals,,environmental stress,0.25
Young et al.,2017,"Interacting effects of land use and climate on rodent-borne pathogens in
   central Kenya",Philosophical Transactions of the Royal Society B,urbanization / deforestation,Kenya,empirical,anthropogenic,animals,,,1
Fuller et al.,2012,"The Ecology of Emerging Infectious Diseases in Migratory Birds: An
   Assessment of the Role of Climate Change and Priorities for Future
   Research",EcoHealth,migration,Global,literature,anthropogenic,birds,migratory birds carrying ID,,0.5
Fuller et al.,2012,"The Ecology of Emerging Infectious Diseases in Migratory Birds: An
   Assessment of the Role of Climate Change and Priorities for Future
   Research",EcoHealth,physiology,Global,literature,anthropogenic,birds,migratory birds carrying ID,,0.5
Ishtiaq,2021,"Ecology and Evolution of Avian Malaria: Implications of Land Use Changes
   and Climate Change on Disease Dynamics",Journal of the Indian Institute of Science,physiology,Global,literature,terrestrial,birds,avian malaria,,0.5
Ishtiaq,2021,"Ecology and Evolution of Avian Malaria: Implications of Land Use Changes
   and Climate Change on Disease Dynamics",Journal of the Indian Institute of Science,temperature,Global,literature,terrestrial,birds,avian malaria,,0.5
Schoener et al,2014,Avian malaria in New Zealand ,New Zealand Veterinary Journal,species decline,New Zealand,literature,terrestrial,birds,malaria,,1
Sehgal,2010,Deforestation and avian infectious diseases,Journal of Experimental Biology,anthropogenic factors,Global,literature,forest,birds,,,0.333
Sehgal,2010,Deforestation and avian infectious diseases,Journal of Experimental Biology,dilution / amplification,Global,literature,forest,birds,,,0.333
Sehgal,2010,Deforestation and avian infectious diseases,Journal of Experimental Biology,range shifts,Global,literature,forest,birds,,,0.333
Traill et al. ,2009,"Climate Change Enhances the Potential Impact of Infectious Disease and
   Harvest on Tropical Waterfowl",Biotropica,range shifts,NA,literature,wetlands,birds,,,1
Hutchings et al.,2012,"Climate change, fisheries, and aquaculture: trends and consequences for
   Canadian marine biodiversity",Environmental Reviews,food web dynamics,Global,literature,marine,fish,,,0.5
Hutchings et al.,2012,"Climate change, fisheries, and aquaculture: trends and consequences for
   Canadian marine biodiversity",Environmental Reviews,range shifts,Global,literature,marine,fish,,,0.5
Liu & He,2019,"Incorporating the disease triangle framework for testing the effect of
   soil-borne pathogens on tree species diversity",Functional Ecology,parasite-mediated competition,NA,literature,forest,fungi,soil fungal community,,1
Liu et al. ,2021,Warming intensifies soil pathogen negative feedback on a temperate tree,New Phytologist,parasite-mediated competition,China,empirical,temperate forest,fungi,soil fungal community,,1
Mitchell et al.,2003,"Effects of elevated CO2, nitrogen deposition, and decreased species
   diversity on foliar fungal plant disease",Global Change Biology,dilution / amplification,USA,empirical,grasslands,fungi,foliar fungal pathogens,,0.5
Mitchell et al.,2003,"Effects of elevated CO2, nitrogen deposition, and decreased species
   diversity on foliar fungal plant disease",Global Change Biology,climatic pulse events,USA,empirical,grasslands,fungi,foliar fungal pathogens,,0.5
Mayr et al.,2020,Climate and food resources shape species richness and trophic interactions of cavity-nesting Hymenoptera,Journal of Biogeography,temperature,Tanzania,empirical,mountain,insects,,,1
Sanchez-Bayo & Wyckhuys,2019,Worldwide decline of the entomofauna: A review of its drivers,Biological Conservation,anthropogenic factors,Global,literature,freshwater,insects,,,0.5
Sanchez-Bayo & Wyckhuys,2019,Worldwide decline of the entomofauna: A review of its drivers,Biological Conservation,anthropogenic factors,Global,literature,terrestrial,insects,,,0.5
Strangler et al.,2015,"Interactive effects of habitat fragmentation and microclimate on
   trap-nesting Hymenoptera and their trophic interactions in small
   secondary rainforest remnants",Biodiversity and Conservation,dilution / amplification,Costa Rica,empirical,tropical forest,insects,Hymenoptera,,0.5
Strangler et al.,2015,"Interactive effects of habitat fragmentation and microclimate on
   trap-nesting Hymenoptera and their trophic interactions in small
   secondary rainforest remnants",Biodiversity and Conservation,temperature,Costa Rica,empirical,tropical forest,insects,Hymenoptera,,0.5
Tiberi et al.,2016,Cork oak pests: a review of insect damage and management,Annals of Forest Science,temperature,Global,literature,forest,insects,,,1
Auld et al. ,2017,"Simulated climate change, epidemic size, and host evolution across
   host-parasite populations",Global Change Biology,temperature,United Kingdom,empirical,freshwater,invertebrates,Daphnia - P. ramosa,,1
Neogi et al.,2014,The role of wetland microinvertebrates in spreading human diseases,Wetlands Ecology and Management,precipitation,NA,literature,wetlands,invertebrates,imcroinvertebrates,; UV; vector migration,0.25
Neogi et al.,2014,The role of wetland microinvertebrates in spreading human diseases,Wetlands Ecology and Management,temperature,NA,literature,wetlands,invertebrates,imcroinvertebrates,; UV; vector migration,0.25
Neogi et al.,2014,The role of wetland microinvertebrates in spreading human diseases,Wetlands Ecology and Management,migration,NA,literature,wetlands,invertebrates,imcroinvertebrates,; UV; vector migration,0.25
Neogi et al.,2014,The role of wetland microinvertebrates in spreading human diseases,Wetlands Ecology and Management,UV,NA,literature,wetlands,invertebrates,imcroinvertebrates,; UV; vector migration,0.25
Danovaro et al.,2009,"Climate Change and the Potential Spreading of Marine Mucilage and
   Microbial Pathogens in the Mediterranean Sea",PLoS One,climatic pulse events,Mediterranean Sea,empirical,marine,microbiome,marine,,1
Hutchins et al.,2019,Climate change microbiology - problems and perspectives,Nature Reviews Microbiology,precipitation,Global,literature,terrestrial,microbiome,perspectives piece,,0.333
Hutchins et al.,2019,Climate change microbiology - problems and perspectives,Nature Reviews Microbiology,climatic pulse events,Global,literature,grasslands,microbiome,perspectives piece,,0.333
Hutchins et al.,2019,Climate change microbiology - problems and perspectives,Nature Reviews Microbiology,temperature,Global,literature,marine,microbiome,perspectives piece,,0.333
Aguirre & Gomez,2009,"Essential veterinary education in conservation medicine and ecosystem
   health: a global perspective",REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES,NA,NA,literature,anthropogenic,NA,covers all three as global pressures but does not connect them in the vet med system,,1
Danielopol et al.,2003,Present state and future prospects for groundwater ecosystems,Environmental Conservation,NA,NA,literature,NA,NA,groundwater,,1
Paseka et al.,2019,Elemental Ratios Link Environmental Change and Human Health,Frontiers in Ecology and Evolution,anthropogenic factors,NA,literature,anthropogenic,NA,,,1
Swynghedauw,2009,Medical consequences of global warming,Presse Medicale,NA,France,literature,anthropogenic,NA,,,1
Syal,2021,"Learning from pandemics: Applying resilience thinking to identify
   priorities for planning urban settlements",Journal of Urban Management,vector abundance,Global,literature,anthropogenic,NA,,,1
Alba et al. ,2021,"Towards the comprehension of fasciolosis (re-)emergence: an integrative
   overview",Parasitology,urbanization / deforestation,Global,literature,anthropogenic,parasites,Fasciola species in livestock,,1
Cizauskas et al.,2017,"Parasite vulnerability to climate change: an evidence- based functional
   trait approach",Royal Society Open Science,physiology,NA,literature,NA,parasites,*parasites in conservation,,0.5
Cizauskas et al.,2017,"Parasite vulnerability to climate change: an evidence- based functional
   trait approach",Royal Society Open Science,physiology,NA,literature,NA,parasites,*parasites in conservation,,0.5
David,2021,"Climate Change and Shell-Boring Polychaetes (Annelida: Spionidae):
   Current State of Knowledge and the Need for More Experimental Research",Biological Bulletin,physiology,NA,literature,marine,parasites,marine,,1
Dunn et al.,2009,"The sixth mass coextinction: are most endangered species parasites and
   mutualists?",Proceedings of the Royal Society B,temporal mismatch,Global,literature,terrestrial,parasites,Climate induced changes that result in extinction of hosts can also endanger or cause extinction of parasites,,0.333
Dunn et al.,2009,"The sixth mass coextinction: are most endangered species parasites and
   mutualists?",Proceedings of the Royal Society B,species decline,Global,literature,terrestrial,parasites,Climate induced changes that result in extinction of hosts can also endanger or cause extinction of parasites,,0.333
Dunn et al.,2009,"The sixth mass coextinction: are most endangered species parasites and
   mutualists?",Proceedings of the Royal Society B,migration,Global,literature,terrestrial,parasites,Climate induced changes that result in extinction of hosts can also endanger or cause extinction of parasites,,0.333
Ennos,2015,Resilience of forests to pathogens: an evolutionary ecology perspective,Forestry,genetic diversity,Global,literature,tropical forest,parasites,*tropical and temperate forests,; species introductions; microclimate,0.5
Ennos,2015,Resilience of forests to pathogens: an evolutionary ecology perspective,Forestry,species introductions,Global,literature,temperate forest,parasites,*tropical and temperate forests,; species introductions; microclimate,0.5
Graziosi et al.,2020,Pests and diseases of trees in Africa: A growing continental emergency,Plants People Planet,species decline,Africa,literature,forest,parasites,,,0.5
Graziosi et al.,2020,Pests and diseases of trees in Africa: A growing continental emergency,Plants People Planet,invasive species,Africa,literature,forest,parasites,,,0.5
Griebel et al.,2017,"Mistletoe, friend and foe: synthesizing ecosystem implications of
   mistletoe infection",Environmental Research Letters,species decline,NA,literature,forest,parasites,misteltoe,,0.5
Griebel et al.,2017,"Mistletoe, friend and foe: synthesizing ecosystem implications of
   mistletoe infection",Environmental Research Letters,climatic pulse events,NA,literature,forest,parasites,misteltoe,,0.5
Haas et al.,2016,"Effects of individual, community, and landscape drivers on the dynamics
   of a wildland forest epidemic",Ecology,precipitation,USA,empirical,temperate forest,parasites,SOD in oaks,,0.333
Haas et al.,2016,"Effects of individual, community, and landscape drivers on the dynamics
   of a wildland forest epidemic",Ecology,dilution / amplification,USA,empirical,temperate forest,parasites,SOD in oaks,,0.333
Haas et al.,2016,"Effects of individual, community, and landscape drivers on the dynamics
   of a wildland forest epidemic",Ecology,temperature,USA,empirical,temperate forest,parasites,SOD in oaks,,0.333
Hunt et al.,2010,"White pines, Ribes, and blister rust: integration and action",Forest Pathology,range shifts,Global,literature,temperate forest,parasites,white pine blister rust,,0.5
Hunt et al.,2010,"White pines, Ribes, and blister rust: integration and action",Forest Pathology,thermal mismatch,Global,literature,temperate forest,parasites,white pine blister rust,,0.5
